ID,  Milk,ChdBby,Vegges, Cerel, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
223,     1,     2,     0,     7,     3,     5,     7,     9,     0,     8,     6,     7,     5,     2,     7,     4,     5,     2,     4,     3
224,     4,     3,     8,     5,     2,     7,     3,     7,     7,     8,     0,     8,     6,     8,     6,     4,     5,     3,     5,     3
225,     4,     3,     8,     7,     7,     6,     6,     5,     6,     9,     2,     6,     1,     3,     5,     5,     7,     5,     6,     1
226,     3,     0,     0,     8,     3,     6,    10,     9,     0,     8,     9,     8,     8,     2,     6,     5,     3,     4,     4,     5
227,     1,     1,     3,     7,     2,     5,     9,     7,     2,     8,     6,     4,     8,     1,     7,     6,     8,     0,     4,     6
228,     6,     6,     8,     3,     1,     5,     2,     3,     7,     2,     1,     3,     2,     3,     1,     5,     3,     1,     0,     3
229,     7,     6,     7,     2,     0,     4,     5,     1,     7,     3,     1,     3,     2,     2,     2,     6,     7,     2,     0,     3
230,     4,     2,     1,     9,     2,     4,     9,     8,     4,     7,     9,     7,     6,     4,     6,     3,     7,     5,     4,     4
231,     9,    10,     4,    10,     6,     8,     6,     5,     5,     2,     2,     6,     6,     2,     3,     4,     3,     5,     3,     3
232,     2,     1,     1,     7,     2,     4,     9,     5,     2,     9,     7,     6,     7,     2,     9,     6,     8,     2,     5,     7
233,     2,     4,     7,     6,     4,     6,     4,     3,     5,    10,     2,     9,     3,     5,     5,     7,     6,     4,     4,     0
234,     5,     5,     8,     5,     5,     4,     5,     2,     8,     9,     1,     3,     4,     7,     5,     5,     7,     0,     8,     3
235,    10,     8,     9,     8,     8,     6,     8,     2,     5,     3,     1,     8,     3,     2,     2,     5,     0,     2,     5,     2
236,     7,     4,     7,     5,     0,     2,     3,     1,     6,     2,     1,     6,     1,     3,     3,     3,     3,     1,     1,     2
237,    10,     9,     7,     8,     8,     6,     7,     5,     5,     1,     1,     4,     0,     3,     1,     3,     0,     1,     7,     1
238,     4,     4,     5,    10,     6,     8,     6,     8,     6,    10,     2,     8,     3,     7,     2,     6,     7,     3,     5,     6
239,    10,     8,     6,     9,     4,     7,     7,     4,     7,     1,     1,     3,     5,     4,     1,     7,     1,     3,     1,     2
240,     6,     8,     8,     7,     2,     4,     5,     2,     9,     2,     1,     5,     2,     1,     2,     5,     4,     3,     0,     5
241,     0,     3,     4,    10,     0,     3,    10,     4,     0,     9,     9,     7,     7,     4,     9,     4,     8,     3,     1,     3
242,     9,     6,     8,     8,     7,     7,     7,     4,     6,     1,     1,     5,     5,     2,     4,     6,     1,     3,     3,     1
243,     7,     3,     6,     8,     8,     6,     7,     5,     6,     8,     0,     3,     4,     6,     3,     5,     9,     3,     4,     2
244,     9,     7,    10,    10,     9,     5,     7,     5,     6,     1,     0,     6,     2,     0,     4,     4,     2,     0,     1,     4
245,    10,     6,     8,     7,     7,     9,     7,     4,     6,     1,     0,     3,     4,     2,     2,     1,     1,     5,     7,     4
246,    10,     7,     8,     8,     8,     8,     9,     4,     7,     0,     0,     7,     5,     2,     3,     8,     0,     3,     7,     1
247,     4,     3,     8,     7,     0,     4,     0,     3,     7,     1,     1,     5,     2,     1,     1,     6,     3,     4,     0,     2
248,     3,     6,     6,     4,     5,     8,     7,     6,     4,     9,     0,     4,     6,     2,     4,     6,     5,     4,     7,     0
249,     3,     4,     1,     8,     5,     4,     8,     8,     1,     7,     6,     4,     6,     2,     8,     8,     8,     2,     5,     5
250,     3,     2,     2,     9,     2,     7,     9,     8,     0,     9,     8,     6,     8,     5,     7,     8,     8,     1,     4,     4
251,     5,     1,     2,     8,     2,     6,    10,     3,     2,     8,     4,     7,     6,     2,    10,     6,     6,     3,     3,     4
252,     2,     2,     1,    10,     3,     7,    10,     5,     1,     8,    10,     8,     8,     3,     6,     3,     5,     3,     3,     6
253,     3,     4,     4,     8,     7,     7,     9,     5,     4,     7,     1,     6,     4,     6,     4,     3,     6,     1,     5,     2
254,     8,     9,     6,    10,     9,     7,     6,     5,     5,     4,     0,     4,     3,     4,     4,     3,     2,     4,     4,     1
255,     9,     7,     7,     9,     7,     4,     9,     5,     5,     2,     0,     7,     3,     2,     2,     6,     1,     2,     4,     3
256,     4,     5,     9,     5,     6,     7,     7,     4,     6,     8,     0,     2,     3,     7,     5,     6,     7,     5,     7,     1
257,     3,     4,     4,     7,     8,     7,     7,     4,     5,     9,     0,     6,     7,     6,     5,     5,     7,     1,     6,     3
258,     5,     3,     2,     7,     6,     6,     5,     5,     5,     8,     3,     5,     5,     7,     4,     4,     8,     6,     1,     3
259,     8,     0,     6,     9,     7,     6,     3,     5,     6,     7,     2,     6,     4,     4,     5,     7,     6,     3,     6,     0
260,    10,     9,     8,     8,     7,     5,     7,     3,     8,     2,     2,     8,     4,     5,     2,     5,     2,     6,     3,     3
261,     4,     6,     4,     3,     0,     6,     3,     3,     8,     0,     2,     3,     3,     2,     2,     7,     3,     4,     0,     3
262,    10,     9,     6,     9,     7,     5,     8,     5,     5,     2,     0,     5,     4,     3,     2,     5,     0,     4,     3,     1
263,     5,     5,     6,     7,     6,     7,     7,     4,     3,    10,     0,     4,     3,     4,     2,     5,     9,     1,     6,     3
264,     0,     4,     3,     8,     3,     4,    10,     6,     0,     9,     8,     3,     6,     1,     7,     4,    10,     3,     3,     3
265,     2,     6,     9,     4,     1,     4,     3,     2,     9,     2,     2,     3,     2,     1,     0,     5,     5,     3,     0,     3
266,     6,     3,     8,     6,     0,     6,     2,     1,     7,     1,     2,     6,     3,     2,     4,     6,     6,     3,     2,     2
267,    10,     6,     7,     8,     8,     5,     6,     7,     8,     2,     1,     3,     4,     4,     1,     7,     1,     5,     4,     2
268,     4,     4,     6,     6,     7,     4,     4,     6,     8,     7,     0,     3,     5,     9,     4,     2,     7,     6,     3,     2
269,     1,     4,     0,     7,     6,     5,     8,     8,     2,     9,     6,     6,     8,     1,    10,     4,    10,     1,     4,     5
270,    10,    10,     8,     9,     6,     7,     7,     5,     4,     4,     2,     5,     4,     2,     2,     3,     0,     3,     5,     1
271,     4,     5,     8,     8,     9,     6,     6,     5,     8,     6,     1,     6,     4,     7,     6,     4,     5,     1,     7,     2
272,    10,     5,     8,    10,     7,     8,     8,     6,     6,     1,     1,     6,     4,     4,     4,     7,     1,     4,     4,     2
273,     5,     3,     7,     4,     8,     4,     5,     7,     7,     8,     1,     6,     5,     7,     5,     5,     8,     2,     6,     2
274,    10,     9,     9,     4,    10,     7,    10,     7,     9,     1,     0,     7,     3,     1,     4,     3,     0,     2,     3,     2
275,     9,     9,     7,     7,     8,     6,     8,     2,     6,     2,     1,     5,     4,     2,     3,     3,     2,     5,     6,     0
276,     6,     3,     4,     6,     8,     4,     8,     7,     8,     8,     0,     6,     3,     7,     4,     4,     7,     5,     3,     4
277,     6,     4,     6,     5,     5,     6,     5,     6,     7,     9,     1,     8,     6,     8,     2,     6,     7,     2,     5,     2
278,     3,     2,     2,     7,     0,     9,     8,     9,     0,     7,     5,     5,     4,     4,     7,     7,     9,     3,     3,     5
279,     4,     2,     8,     6,     8,     6,     9,     8,     5,     7,     1,     5,     4,     7,     3,     3,     8,     4,     7,     3
280,     8,     6,     6,     4,     0,     4,     1,     2,     9,     2,     1,     7,     4,     0,     2,     7,     4,     5,     0,     3
281,     5,     2,     4,     7,     6,     5,     8,     5,     7,     9,     1,     5,     1,     6,     4,     6,     7,     6,     2,     1
282,     2,     2,     2,     7,     5,     5,    10,     6,     1,     7,     6,     3,     7,     6,     7,     6,     7,     2,     4,     4
283,     4,     7,     9,     4,     1,     5,     1,     4,     7,     3,     1,     7,     4,     4,     2,     3,     4,     2,     1,     5
284,     8,    10,     7,     7,     7,     6,     6,     4,     5,     3,     0,     5,     5,     0,     1,     8,     0,     4,     6,     1
285,     7,     5,     6,     8,     6,     7,     7,     2,     4,     7,     1,     5,     5,     7,     4,     3,     6,     3,     5,     2
286,     2,     1,     2,     8,     2,     8,     9,     6,     1,     9,     6,     6,     8,     2,     9,     8,     4,     5,     8,     5
287,     5,     6,     8,     7,     2,     4,     5,     2,     9,     1,     0,     5,     2,     2,     2,     6,     5,     1,     0,     6
288,     2,     1,     1,     7,     1,     5,     8,     5,     0,     9,     8,     4,     6,     4,    10,     5,     5,     3,     6,     5
289,     6,     7,    10,     3,     1,     4,     2,     3,     9,     4,     0,     6,     5,     3,     2,     7,     4,     2,     0,     3
290,     2,     1,     0,     9,     1,     5,     8,     8,     0,     9,     7,     4,     5,     2,     9,     6,     9,     4,     8,     5
291,     4,     5,     9,     4,     1,     7,     4,     4,     6,     3,     2,     4,     4,     2,     2,     4,     5,     3,     1,     2
292,     7,     1,     7,     7,     9,     5,     7,     6,     7,     9,     1,     7,     2,     6,     6,     2,    10,     5,     5,     1
293,     6,     5,     7,     7,    10,     6,     5,     6,     3,     9,     1,     5,     6,     6,     2,     7,     7,     2,     5,     2
294,     4,     3,     7,     6,     0,     4,     6,     1,     8,     3,     2,     6,     2,     2,     5,     5,     2,     3,     1,     4
295,     1,     1,     1,     9,     1,     8,     8,     6,     0,     7,     5,     6,     6,     3,     6,     2,     5,     3,     2,     4
296,     3,     6,     5,     5,     0,     8,     2,     1,     7,     1,     1,     6,     6,     6,     2,     8,     4,     2,     0,     3
297,     2,     1,     1,     9,     4,     7,    10,     7,     1,     8,     5,     5,     7,     3,     6,     6,     7,     2,     6,     2
298,     4,     2,     5,     6,     7,     7,     6,     6,     6,     9,     1,     6,     7,     4,     3,     3,     5,     2,     4,     0
299,     9,     5,     8,     4,     1,     4,     4,     2,     8,     5,     0,     9,     3,     3,     1,     4,     5,     3,     0,     4
300,    10,     8,     6,     9,    10,     6,     8,     2,     7,     2,     1,     4,     2,     4,     3,     5,     0,     2,     5,     0
301,     5,     3,     5,     8,     5,     4,     7,     6,     9,     9,     1,     5,     4,     8,     4,     5,     9,     6,     3,     3
302,    10,     7,     8,     8,     7,     6,     6,     4,     6,     4,     1,     7,     4,     0,     2,     6,     0,     4,     5,     4
303,     5,     3,     9,     3,     0,     6,     0,     3,     8,     2,     2,     7,     2,     3,     4,     2,     5,     3,     0,     3
304,     4,     2,     3,     9,     2,     5,     9,     7,     0,     8,     5,     7,     7,     5,     8,     7,     7,     4,     6,     7
305,     6,     4,     8,     6,     7,     4,     6,     6,     4,     9,     2,     7,     4,     7,     1,     4,     7,     2,     6,     0
306,     1,     2,     2,     7,     1,     5,     9,     6,     0,     7,     8,     6,     3,     1,     9,     5,     8,     5,     4,     6
307,     1,     1,     1,     9,     2,     7,     9,     7,     1,     7,     9,     8,     7,     2,     9,     4,     8,     2,     8,     6
308,     9,     9,     6,     8,     5,     8,     6,     4,     5,     2,     1,     7,     8,     2,     1,     5,     1,     1,     6,     1
309,     6,     5,     6,     4,     1,     4,     1,     5,     8,     1,     0,     7,     2,     6,     7,     4,     7,     3,     1,     3
310,     9,     9,     9,     9,     6,     7,     6,     4,     8,     2,     2,     2,     2,     3,     4,     6,     2,     1,     5,     3
311,     5,     2,     8,     2,     0,     5,     4,     2,     8,     0,     1,     7,     2,     3,     2,     4,     3,     3,     2,     3
312,     3,     5,     8,     8,     6,     6,     6,     4,     4,     7,     0,     6,     1,     8,     7,     7,     8,     3,     7,     0
313,    10,    10,     7,     8,     7,     4,     7,     8,     5,     1,     1,     4,     2,     2,     3,     3,     4,     2,     6,     3
314,     1,     1,     1,    10,     2,     4,    10,     8,     0,     8,     5,     4,     7,     2,     9,     3,     8,     5,     5,     6
315,     0,     1,     2,     9,     2,     8,    10,     7,     2,    10,     7,     5,     4,     4,     8,     6,     6,     7,     6,     8
316,     4,     1,     4,     5,     0,     5,     3,     4,     7,     1,     1,     7,     0,     2,     4,     5,     5,     3,     1,     2
317,     4,     6,     8,     6,     0,     3,     4,     1,     8,     3,     0,     4,     2,     3,     1,     5,     4,     6,     0,     4
318,    10,     5,     7,     6,     9,     5,     6,     5,     4,     2,     1,     3,     3,     2,     2,     5,     2,     2,     4,     1
319,     5,     3,     7,     4,     0,     7,     4,     4,     7,     4,     1,     6,     4,     1,     5,     1,     7,     2,     0,     4
320,     7,     5,     7,     4,     2,     4,     1,     3,     8,     4,     1,     3,     2,     0,     2,     4,     3,     3,     0,     2
321,     7,     3,     4,     9,     7,     6,     4,     7,     6,     8,     3,     4,     3,     7,     3,     5,     7,     3,     5,     2
322,     5,     3,     7,     5,     0,     6,     1,     2,     8,     1,     2,     5,     0,     3,     3,     4,     5,     1,     1,     2
323,     5,     8,     7,     5,     1,     6,     3,     1,     7,     2,     0,     6,     3,     2,     3,     3,     4,     3,     1,     3
324,     2,     2,     2,     9,     3,     6,     9,     8,     2,     9,     8,     3,     9,     5,     9,     5,     7,     1,     3,     5
325,     4,     2,     1,    10,     1,     4,    10,     9,     1,    10,     9,     6,     6,     4,    10,     4,     6,     5,     4,     6
326,     6,     4,     8,     6,     1,     2,     2,     3,     9,     0,     0,     5,     3,     4,     2,     2,     3,     2,     1,     3
327,     2,     2,     0,     8,     1,     5,     9,     7,     0,     9,     7,     5,     5,     2,     5,     7,     5,     4,     4,     6
328,     2,     1,     2,     8,     4,     9,     9,     9,     0,     9,     6,     6,     6,     2,     9,     3,     6,     2,     7,     5
329,     4,     5,    10,     5,     0,     4,     3,     2,     8,     3,     1,     4,     6,     1,     5,     5,     6,     3,     3,     3
330,     1,     5,     6,     7,     2,     9,     3,     4,     9,     4,     3,     8,     5,     4,     4,     5,     6,     2,     1,     2
331,     4,     4,     7,     7,     8,     8,     8,     2,     9,     9,     1,     8,     4,     7,     5,     7,     6,     2,     3,     2
332,     1,     6,     7,     5,     0,     5,     1,     3,     9,     1,     3,     5,     1,     2,     2,     5,     5,     3,     2,     1
333,     1,     3,     3,     8,     4,     6,    10,     7,     0,     8,     8,     8,     8,     0,    10,     4,     6,     3,     7,     7
334,     5,     5,     9,     3,     0,     5,     1,     2,     9,     4,     1,     8,     0,     1,     0,     4,     5,     3,     0,     4
335,    10,     9,     6,     9,     5,     9,     7,     6,     5,     2,     1,     3,     4,     1,     3,     5,     0,     4,     8,     2
336,    10,     7,     8,     7,     7,     4,     7,     3,     7,     3,     2,     7,     5,     3,     4,     4,     1,     4,     7,     1
337,     3,     3,     7,     7,     8,     5,     7,     5,     6,     9,     2,     5,     5,     5,     4,     4,     7,     2,     4,     1
338,    10,     9,     8,     9,     3,     8,     8,     4,     6,     0,     2,     5,     3,     5,     1,     5,     1,     3,     6,     1
339,     2,     2,     0,     9,     3,     4,    10,     5,     0,     8,     8,     5,     7,     1,     9,     6,     5,     3,     6,     6
340,     4,     5,     7,     7,     1,     6,     3,     3,     6,     3,     1,     6,     5,     1,     3,     6,     5,     2,     0,     2
341,     2,     2,     2,     7,     3,     8,     9,     3,     0,     9,     8,     4,     6,     2,     7,     6,     6,     4,     3,     7
342,    10,     8,     5,     8,     8,     6,     7,     6,     6,     1,     2,     6,     5,     3,     0,     7,     2,     4,     5,     3
343,     1,     1,     4,    10,     2,     4,     9,     6,     0,     7,     8,     5,     4,     2,     7,     5,     6,     4,     6,     4
344,     4,     5,     7,     4,     1,     5,     7,     7,     9,     3,     1,     5,     1,     5,     4,     6,     2,     1,     1,     3
345,     8,     8,     6,    10,     7,     5,     6,     3,     2,     2,     0,     6,     5,     3,     4,     4,     2,     3,     5,     1
346,     5,     5,     6,     6,     8,     6,     7,     4,     4,     9,     1,     5,     3,     9,     4,     5,     8,     3,     6,     3
347,     1,     1,     2,     8,     2,     6,     9,     6,     3,     8,    10,     2,     6,     4,     5,     5,     9,     1,     7,     6
348,     5,     6,     6,     7,     4,     8,     7,     8,     5,     7,     0,     7,     4,     5,     5,     4,     5,     5,     5,     3
349,     4,     2,     8,     4,     0,     3,     0,     5,     9,     2,     0,     4,     5,     2,     2,     6,     6,     2,     0,     1
350,     2,     1,     2,     7,     2,     5,     9,     5,     2,     8,     7,     6,     7,     3,     6,     7,     7,     2,     6,     7
351,     1,     2,     2,     8,     3,     6,    10,     9,     1,     7,     7,     5,     9,     4,     6,     3,     5,     6,     7,     6
352,     3,     3,     2,     7,     5,     5,    10,     6,     1,     8,     7,     7,     6,     1,     8,     7,     5,     5,     3,     3
353,     3,     0,     4,     9,     0,     5,     9,     3,     1,    10,     6,     5,     7,     3,     9,     4,     9,     3,     4,     3
354,     4,     4,     7,     9,     6,     5,     7,     6,     7,     9,     2,     4,     1,     6,     4,     8,     7,     5,     2,     2
355,     6,     4,     7,     8,     5,     7,     7,     7,     3,     8,     2,     5,     5,     4,     4,     5,     9,     3,     4,     3
356,     9,     8,     8,     9,     7,     4,     8,     8,     8,     2,     3,     5,     6,     3,     1,     2,     0,     3,     4,     4
357,     2,     2,     2,     6,     7,     8,    10,     9,     1,     9,     8,     4,     7,     2,     9,     3,    10,     2,     4,     5
358,     5,     3,     5,     5,     8,     5,     6,     5,     5,     8,     1,     6,     3,     7,     7,     3,     7,     2,     1,     3
359,     5,     5,     9,     4,     6,     6,     8,     4,     4,     8,     1,     5,     3,     6,     2,     5,     9,     4,     2,     4
360,     2,     1,     2,     8,     1,     6,     9,     6,     1,     8,     9,     9,     8,     5,     6,     7,    10,     3,     4,     5
361,     2,     4,     2,    10,     5,     9,     9,     4,     0,    10,     4,     6,     4,     1,     8,     4,     7,     5,     5,     7
362,     5,     6,     8,     2,     1,     5,     3,     2,     8,     2,     1,     6,     4,     2,     4,     4,     4,     2,     1,     3
363,    10,     6,     9,     6,    10,     6,     8,     6,     2,     0,     3,     5,     4,     1,     0,     7,     1,     0,     5,     4
364,     1,     1,     3,     8,     1,     7,     9,     7,     0,     9,     5,     7,     9,     4,    10,     7,     8,     3,     5,     4
365,     3,     4,     8,     5,     0,     3,     3,     5,     7,     1,     0,     8,     3,     3,     3,     5,     6,     2,     0,     2
366,     8,     8,     7,     9,     6,     7,     7,     3,     2,     1,     0,     8,     4,     4,     1,     7,     0,     5,     8,     3
367,     5,     2,     6,     7,     3,     8,     6,     7,     9,     8,     1,     6,     4,     6,     5,     4,     6,     2,     2,     2
368,     1,     0,     3,     9,     4,     4,     8,     4,     0,     8,     7,     5,     7,     4,     8,     6,    10,     2,     5,     2
369,     2,     6,     9,     7,     5,     8,     6,     6,     6,     7,     0,     6,     3,     5,     9,     6,     8,     2,     8,     1
370,     4,     1,     6,     7,     7,     7,     3,     5,     7,     7,     1,     6,     4,     6,     2,     3,     9,     2,     6,     3
371,     3,     3,     0,     6,     2,     4,    10,     9,     0,     6,     6,     6,     4,     3,    10,     6,     5,     6,     7,     7
372,     9,    10,     6,     9,     8,     5,     7,     5,     3,     2,     0,     5,     4,     5,     1,     3,     0,     3,     5,     3
373,     1,     3,     5,    10,     1,     7,     9,     8,     2,    10,     2,     9,     8,     3,     8,     5,     6,     3,     4,     4
374,     7,     4,     3,     3,     2,     5,     0,     2,     9,     2,     1,     8,     2,     4,     4,     5,     4,     4,     1,     3
375,    10,     7,    10,    10,     7,     8,     8,     7,     5,     3,     2,     4,     3,     4,     3,     5,     1,     4,     6,     3
376,     1,     2,     3,     9,     4,     7,    10,     6,     1,    10,     8,     4,     7,     1,    10,     4,    10,     3,     6,     7
377,     0,     0,     1,     8,     1,     9,    10,     8,     2,     8,     6,     4,     5,     3,     9,     5,     6,     1,     3,     7
378,     9,    10,     7,     7,     8,     6,     6,     3,     6,     0,     1,     6,     5,     4,     1,     3,     1,     4,     6,     1
379,     1,     3,     2,     7,     5,     8,    10,     8,     2,     8,     4,     4,     8,     3,    10,     2,     6,     3,     7,     4
380,     3,     1,     4,     7,     3,     5,     7,     6,     3,     6,     6,     3,     6,     1,     7,     5,     6,     5,     3,     3
381,     3,     1,     0,     8,     1,     4,     6,     5,     0,     7,     6,     4,     7,     3,     6,     5,     8,     4,     3,     5
382,     5,     3,     8,     7,     7,     8,     5,     5,     6,     7,     2,     3,     5,     8,     7,     5,     6,     2,     4,     2
383,     7,     7,     7,     4,     0,     5,     0,     3,     9,     3,     1,     6,     3,     2,     2,     6,     3,     2,     1,     5
384,     2,     2,     1,     6,     3,     7,     9,     6,     1,     6,     6,     7,     5,     2,     9,     7,     8,     3,     6,     4
385,     1,     1,     0,     8,     0,     8,     9,     7,     1,     8,     5,     4,     8,     4,     9,     6,     7,     3,     5,     5
386,     5,     5,     7,     4,     6,     3,     7,     4,     5,     7,     2,     6,     2,     7,     2,     4,     8,     3,     5,     3
387,     7,     5,     6,     6,     7,     4,     5,     5,     7,     9,     2,     4,     4,     7,     3,     2,     6,     2,     5,     2
388,     5,     3,     8,     3,     0,     6,     3,     2,     8,     1,     1,     6,     5,     2,     3,     5,     6,     5,     2,     0
389,     4,     1,     3,     9,     3,     5,     9,    10,     0,     8,     6,     8,     7,     4,     6,     5,     5,     3,     8,     4
390,     6,     3,     8,     5,     1,     3,     2,     1,     9,     2,     2,     5,     5,     2,     2,     4,     5,     4,     1,     4
391,     2,     2,     5,     6,     1,     6,    10,     6,     1,     8,    10,     6,     6,     4,     8,     5,     7,     4,     7,     7
392,     7,     7,     9,     7,     8,     6,     4,     5,     8,     2,     3,     7,     7,     2,     2,     5,     0,     3,     5,     2
393,     9,     8,     6,     8,     7,     6,     5,     3,     6,     0,     0,     8,     5,     4,     0,     6,     1,     4,     6,     0
394,     9,     9,     7,     9,     9,     7,     6,     6,     5,     0,     0,     6,     2,     3,     3,     8,     1,     4,     6,     0
395,     5,     4,     6,     6,     5,     4,     6,     3,     8,    10,     0,     4,     3,     5,     3,     7,     5,     1,     5,     2
396,     4,     5,     8,     6,     4,     4,     9,     3,     9,     8,     1,     5,     4,     3,     6,     6,     8,     4,     5,     2
397,     9,     4,     8,     3,     0,     6,     3,     4,     6,     2,     1,     5,     3,     3,     3,     4,     4,     3,     1,     2
398,     7,     4,     6,     2,     1,     9,     1,     2,     8,     3,     0,     7,     4,     3,     1,     6,     2,     5,     1,     2
399,     8,     9,     7,     5,     8,     6,     8,     4,     4,     3,     1,     7,     3,     1,     1,     7,     3,     6,     6,     2
400,    10,     7,     8,     7,     7,     9,     7,     4,     6,     4,     2,     6,     4,     5,     3,     4,     2,     2,     7,     2
401,     5,     6,     8,     3,     3,     5,     3,     2,    10,     2,     0,     5,     3,     4,     2,     5,     6,     2,     1,     4
402,     4,     4,     4,     9,     7,     7,     7,     3,     7,    10,     1,     6,     5,     4,     4,     6,     7,     2,     3,     2
403,    10,    10,     7,     8,     9,     6,     8,     6,     5,     3,     1,     6,     3,     3,     4,     6,     0,     4,     6,     4
404,    10,     7,     3,     6,    10,     4,    10,     4,     7,     1,     1,     6,     3,     5,     2,     4,     1,     2,     7,     4
405,     2,     4,     6,     7,     6,     7,     7,     3,     4,     9,     0,     7,     5,     6,     4,     7,     9,     6,     3,     1
406,     1,     2,     2,     9,     2,     7,    10,     6,     0,     9,     6,     6,     6,     2,     5,     2,     6,     3,     7,     5
407,     7,     6,     7,     4,     0,     5,     1,     4,     8,     4,     0,     7,     2,     2,     1,     6,     6,     3,     1,     0
408,     9,     9,     9,     6,     8,     5,     8,     5,     7,     1,     4,     4,     3,     4,     1,     5,     0,     4,     4,     2
409,     3,     2,     4,     8,     3,     4,     8,     6,     1,     8,     9,     8,     9,     3,     8,     4,     5,     2,     7,     3
410,     1,     1,     0,     9,     3,     6,     9,    10,     1,     9,    10,     7,     9,     4,     9,     3,     5,     4,     4,     5
411,     3,     3,     1,     9,     2,     8,     8,     7,     0,     7,     8,     7,     6,     5,     8,     6,     6,     3,     5,     6
412,     5,     4,     9,     3,     0,     5,     1,     3,    10,     3,     2,     6,     6,     3,     6,     4,     6,     3,     0,     2
413,    10,     8,     8,     9,     9,     8,     8,     4,     7,     3,     0,     5,     4,     2,     0,     6,     0,     2,     7,     2
414,    10,    10,     8,     7,     8,     6,     6,     4,     5,     2,     0,     7,     2,     3,     2,     5,     1,     4,     6,     1
415,     2,     1,     2,     8,     1,     6,    10,     6,     2,     7,     5,     2,     5,     5,     8,     5,     8,     4,     8,     5
416,    10,     9,     5,     8,     6,     5,     8,     5,     7,     2,     1,     9,     2,     1,     2,     6,     1,     5,     6,     0
417,     3,     5,     8,     4,     0,     4,     4,     2,     9,     5,     2,     6,     3,     3,     2,     4,     4,     4,     2,     2
418,     4,     3,     8,     3,     1,     6,     2,     5,     9,     1,     1,     4,     2,     3,     5,     7,     6,     4,     1,     2
419,     5,     4,     7,     1,     1,     5,     5,     2,     7,     2,     1,     4,     3,     1,     2,     8,     2,     5,     0,     3
420,     3,     1,     4,     9,     2,     6,    10,     4,     0,     7,     7,     5,     8,     4,     8,     5,     7,     2,     5,     8
421,     2,     3,     3,     8,     2,     5,     7,     7,     0,     7,     8,     7,     6,     3,     6,     4,     9,     2,     4,     6
422,     8,     4,     7,     7,     0,     3,     2,     1,    10,     1,     1,     7,     2,     4,     2,     6,     7,     2,     1,     4
423,     4,     6,     9,     5,     1,     6,     3,     2,     7,     2,     2,     6,     4,     2,     3,     5,     5,     2,     0,     4
424,     6,     4,     8,     7,     5,     6,     7,     6,     6,     6,     3,     5,     5,     7,     4,     5,     5,     3,     4,     2
425,     6,     6,     5,     8,     5,     6,     9,     4,     6,     6,     1,     7,     2,     6,     3,     4,     9,     1,     7,     1
426,     4,     4,     6,     3,     0,     6,     4,     3,     9,     1,     1,     3,     4,     1,     3,     8,     6,     2,     0,     4
427,     5,     1,     8,     4,     1,     4,     3,     3,     5,     2,     2,     6,     0,     2,     3,     5,     5,     4,     0,     3
428,     4,     4,     7,     7,     7,     6,     6,     3,     8,     8,     0,     6,     2,     7,     6,     5,     8,     4,     3,     1
429,     7,     4,     9,     2,     2,     5,     3,     1,     8,     3,     1,     5,     3,     1,     1,     4,     2,     2,     0,     4
430,     4,     6,     7,     8,     0,     4,     5,     3,     7,     1,     1,     8,     2,     0,     3,     7,     3,     4,     0,     5
431,    10,     7,     7,     9,     7,     6,     8,     5,     6,     0,     2,     6,     3,     3,     1,     6,     0,     2,     3,     1
432,     5,     5,     8,     7,     5,     7,     5,     3,     5,     9,     1,     6,     5,     6,     5,     5,     8,     3,     5,     3
433,     5,     6,     9,     7,     0,     5,     5,     1,     9,     5,     0,     6,     4,     3,     2,     5,     3,     4,     1,     2
434,     2,     1,     1,     8,     5,     8,     8,     6,     0,    10,     9,     4,     8,     4,    10,     6,     8,     3,     4,     7
435,     8,     7,     7,     9,     7,     5,     6,     5,     5,     0,     1,     5,     6,     4,     3,     6,     0,     1,     4,     1
436,     4,     6,     7,     5,     0,     7,     3,     3,     9,     3,     0,     3,     0,     4,     2,     5,     4,     2,     0,     1
437,     1,     2,     2,     8,     2,     5,     8,     7,     1,     9,     6,     3,     9,     1,     7,     6,     6,     1,     6,     3
438,     6,     6,     9,     6,     2,     8,     1,     3,     8,     1,     1,     3,     2,     6,     2,     4,     4,     4,     0,     5
439,     2,     4,     8,     3,     0,     4,     3,     1,     5,     2,     0,     7,     4,     0,     2,     4,     5,     6,     1,     2
440,     5,     6,     6,     8,     5,     7,     6,     6,     7,     9,     3,     5,     3,     6,     7,     3,     7,     2,     6,     0
441,    10,     9,    10,     6,     7,     7,     8,     4,     8,     3,     1,     7,     7,     2,     4,     7,     0,     4,     4,     0
442,     3,     2,     1,     8,     1,     4,    10,     8,     1,     7,     9,     4,     6,     3,     9,     4,     5,     1,     4,     8
443,     2,     1,     1,     9,     2,     7,     9,     4,     0,     8,     6,     9,     7,     1,     7,     5,     9,     2,     5,     3
444,     2,     4,     2,    10,     3,     7,    10,     5,     2,     7,     4,     6,     4,     5,     8,     5,     5,     2,     6,     7
445,     9,     9,     7,     8,     9,     4,     8,     4,     5,     3,     1,     9,     6,     1,     3,     6,     1,     2,     7,     2
446,    10,     6,     8,     8,     7,     7,     5,     6,     6,     2,     1,     5,     7,     2,     0,     3,     1,     3,     4,     1
